ad	127.0.0.20
ae	127.0.3.16
af	127.0.0.4
ag	127.0.0.28
ai	127.0.2.148
al	127.0.0.8
am	127.0.0.51
an	127.0.2.18
ao	127.0.0.24
aq	127.0.0.10
ar	127.0.0.32
as	127.0.0.16
at	127.0.0.40
au	127.0.0.36
aw	127.0.2.21
az	127.0.0.31
ba	127.0.0.70
bb	127.0.0.52
bd	127.0.0.50
be	127.0.0.56
bf	127.0.3.86
bg	127.0.0.100
bh	127.0.0.48
bi	127.0.0.108
bj	127.0.0.204
bm	127.0.0.60
bn	127.0.0.96
bo	127.0.0.68
br	127.0.0.76
bs	127.0.0.44
bt	127.0.0.64
bv	127.0.0.74
bw	127.0.0.72
by	127.0.0.112
bz	127.0.0.84
ca	127.0.0.124
cc	127.0.0.166
cf	127.0.0.140
cg	127.0.0.178
ch	127.0.2.244
ci	127.0.1.128
ck	127.0.0.184
cl	127.0.0.152
cm	127.0.0.120
cn	127.0.0.156
co	127.0.0.170
cr	127.0.0.188
cu	127.0.0.192
cv	127.0.0.132
cx	127.0.0.162
cy	127.0.0.196
cz	127.0.0.203
de	127.0.1.20
dj	127.0.1.6
dk	127.0.0.208
dm	127.0.0.212
do	127.0.0.214
dz	127.0.0.12
ec	127.0.0.218
ee	127.0.0.233
eg	127.0.3.50
eh	127.0.2.220
er	127.0.0.232
es	127.0.2.212
et	127.0.0.231
fi	127.0.0.246
fj	127.0.0.242
fk	127.0.0.238
fm	127.0.2.71
fo	127.0.0.234
fr	127.0.0.250
fx	127.0.0.249
ga	127.0.1.10
gb	127.0.3.58
gd	127.0.1.52
ge	127.0.1.12
gf	127.0.0.254
gh	127.0.1.32
gi	127.0.1.36
gl	127.0.1.48
gm	127.0.1.14
gn	127.0.1.68
gp	127.0.1.56
gq	127.0.0.226
gr	127.0.1.44
gs	127.0.0.239
gt	127.0.1.64
gu	127.0.1.60
gw	127.0.2.112
gy	127.0.1.72
hk	127.0.1.88
hm	127.0.1.78
hn	127.0.1.84
hr	127.0.0.191
ht	127.0.1.76
hu	127.0.1.92
id	127.0.1.104
ie	127.0.1.116
il	127.0.1.120
in	127.0.1.100
io	127.0.0.86
iq	127.0.1.112
ir	127.0.1.108
is	127.0.1.96
it	127.0.1.124
jm	127.0.1.132
jo	127.0.1.144
jp	127.0.1.136
ke	127.0.1.148
kg	127.0.1.161
kh	127.0.0.116
ki	127.0.1.40
km	127.0.0.174
kn	127.0.2.147
kp	127.0.1.152
kr	127.0.1.154
kw	127.0.1.158
ky	127.0.0.136
kz	127.0.1.142
la	127.0.1.162
lb	127.0.1.166
lc	127.0.2.150
li	127.0.1.182
lk	127.0.0.144
lr	127.0.1.174
ls	127.0.1.170
lt	127.0.1.184
lu	127.0.1.186
lv	127.0.1.172
ly	127.0.1.178
ma	127.0.1.248
mc	127.0.1.236
md	127.0.1.242
mg	127.0.1.194
mh	127.0.2.72
mk	127.0.3.39
ml	127.0.1.210
mm	127.0.0.104
mn	127.0.1.240
mo	127.0.1.190
mp	127.0.2.68
mq	127.0.1.218
mr	127.0.1.222
ms	127.0.1.244
mt	127.0.1.214
mu	127.0.1.224
mv	127.0.1.206
mw	127.0.1.198
mx	127.0.1.228
my	127.0.1.202
mz	127.0.1.252
na	127.0.2.4
nc	127.0.2.28
ne	127.0.2.50
nf	127.0.2.62
ng	127.0.2.54
ni	127.0.2.46
nl	127.0.2.16
no	127.0.2.66
np	127.0.2.12
nr	127.0.2.8
nu	127.0.2.58
nz	127.0.2.42
om	127.0.2.0
pa	127.0.2.79
pe	127.0.2.92
pf	127.0.1.2
pg	127.0.2.86
ph	127.0.2.96
pk	127.0.2.74
pl	127.0.2.104
pm	127.0.2.154
pn	127.0.2.100
pr	127.0.2.118
pt	127.0.2.108
pw	127.0.2.73
py	127.0.2.88
qa	127.0.2.122
re	127.0.2.126
ro	127.0.2.130
ru	127.0.2.131
rw	127.0.2.134
sa	127.0.2.170
sb	127.0.0.90
sc	127.0.2.178
sd	127.0.2.224
se	127.0.2.240
sg	127.0.2.190
sh	127.0.2.142
si	127.0.2.193
sj	127.0.2.232
sk	127.0.2.191
sl	127.0.2.182
sm	127.0.2.162
sn	127.0.2.174
so	127.0.2.194
sr	127.0.2.228
st	127.0.2.166
sv	127.0.0.222
sy	127.0.2.248
sz	127.0.2.236
tc	127.0.3.28
td	127.0.0.148
tf	127.0.1.4
tg	127.0.3.0
th	127.0.2.252
tj	127.0.2.250
tk	127.0.3.4
tm	127.0.3.27
tn	127.0.3.20
to	127.0.3.8
tp	127.0.2.114
tr	127.0.3.24
tt	127.0.3.12
tv	127.0.3.30
tw	127.0.0.158
tz	127.0.3.66
ua	127.0.3.36
ug	127.0.3.32
uk	127.0.3.58
um	127.0.2.69
us	127.0.3.72
uy	127.0.3.90
uz	127.0.3.92
va	127.0.1.80
vc	127.0.2.158
ve	127.0.3.94
vg	127.0.0.92
vi	127.0.3.82
vn	127.0.2.192
vu	127.0.2.36
wf	127.0.3.108
ws	127.0.3.114
ye	127.0.3.119
yt	127.0.0.175
yu	127.0.3.123
za	127.0.2.198
zm	127.0.3.126
zr	127.0.0.180
zw	127.0.2.204
